code_station;y;ECO_2016;ECO_2017;ECO_2018;BIO_2016;BIO_2017;BIO_2018;PC_2016;PC_2017;PC_2018;CHI_2016;CHI_2017;CHI_2018
05009848;6480460;5;5;U;5;5;U;4;3;3;2;2;2
05009850;6475400;3;4;U;3;4;U;4;2;2;2;2;U
05009851;6476150;5;5;U;5;5;U;U;U;U;U;U;U
05009859;6470360;4;4;U;4;4;U;U;U;U;U;U;U
05009990;6482330;4;4;U;4;4;U;U;U;U;U;U;U
05010000;6482020;4;4;U;4;4;U;3;3;3;2;2;2
05010850;6513300;5;5;U;5;5;U;4;4;4;2;U;2
05010950;6510150;2;2;U;2;2;U;2;2;2;2;2;2
05010960;6508200;2;3;U;2;2;U;2;4;4;2;2;2
05010985;6504410;3;3;U;3;3;U;2;2;3;U;U;U
05011000;6502680;2;2;U;2;2;U;2;2;2;2;2;U
05011400;6498860;3;3;U;3;3;U;3;3;3;2;2;2
05011490;6495750;3;3;U;3;3;U;3;3;2;2;2;U
05011500;6496400;3;3;U;3;3;U;2;3;3;2;2;2
05011520;6494280;3;3;U;U;U;U;3;3;3;U;U;U
05011600;6495180;3;3;U;3;3;U;2;3;3;5;2;2
05011620;6494500;5;5;U;5;5;U;3;4;4;U;U;U
05011640;6490950;3;3;U;3;3;U;2;3;3;U;U;U
05011660;6483640;4;5;U;4;5;U;4;4;4;5;5;2
05011680;6485670;3;3;U;3;3;U;3;3;3;U;U;U
05011700;6481780;3;3;U;U;U;U;3;3;3;U;U;U
05011705;6497430;4;4;U;4;4;U;2;2;2;U;U;U
05011710;6496290;3;3;U;3;3;U;3;3;3;U;U;U
05011720;6492190;3;3;U;3;3;U;4;4;4;2;2;2
05011721;6483920;3;3;U;3;3;U;4;2;4;U;U;U
05011722;6483510;3;3;U;3;3;U;4;4;2;U;U;U
05011724;6494050;4;4;U;4;4;U;2;2;2;U;U;U
05011725;6491520;3;3;U;3;3;U;2;2;2;U;U;U
05011727;6489580;2;2;U;2;2;U;2;2;2;U;U;U
05011730;6491040;4;4;U;4;4;U;2;2;2;2;2;2
05011750;6487130;3;3;U;3;3;U;4;4;4;U;U;U
05012000;6516740;2;2;U;2;2;U;2;2;2;5;5;2
05012200;6520480;4;4;U;4;4;U;2;2;2;2;5;2
05012400;6526700;3;3;U;U;U;U;3;3;3;2;2;2
05012450;6528570;5;5;U;5;5;U;3;3;3;5;2;2
05012500;6528800;3;2;U;2;2;U;2;2;2;2;2;2
05012510;6531690;3;3;U;3;3;U;U;U;U;U;U;U
05012550;6530080;5;5;U;5;5;U;4;4;4;2;2;2
05012680;6532550;3;3;U;3;3;U;U;U;U;U;U;U
05012700;6541890;3;2;U;2;2;U;3;2;3;U;U;U
05013000;6515200;2;2;U;2;2;U;2;2;2;2;2;2
05013100;6517490;2;2;U;2;2;U;2;2;2;2;2;2
05013150;6518720;3;3;U;3;3;U;4;4;4;2;2;2
05013151;6519380;3;3;U;U;U;U;4;5;5;2;2;2
05013152;6519500;3;3;U;U;U;U;5;5;5;2;2;2
05013153;6520300;3;3;U;U;U;U;4;4;5;2;2;2
05013160;6524570;3;3;U;U;U;U;3;3;3;U;U;U
05013175;6525850;5;5;U;5;5;U;5;5;4;5;2;2
05013180;6527680;3;3;U;U;U;U;3;3;3;2;2;U
05013200;6515150;4;3;U;4;3;U;2;2;2;2;2;2
05013650;6511970;2;2;U;2;2;U;2;2;2;2;2;U
05013680;6518440;2;2;U;U;U;U;2;2;2;2;2;2
05013700;6509750;2;3;U;2;3;U;2;2;2;5;2;2
05013900;6507000;2;3;U;2;3;U;2;2;2;2;2;2
05014100;6503700;5;5;U;5;5;U;2;3;2;2;2;2
05014190;6506820;2;2;U;2;2;U;2;2;2;2;2;2
05014195;6506370;3;3;U;3;3;U;3;3;3;U;U;U
05014250;6495680;2;2;U;U;U;U;2;2;2;U;U;U
05015000;6508170;3;3;U;3;3;U;2;2;2;2;2;2
05015060;6509330;3;3;U;3;3;U;2;2;2;2;2;2
05015100;6508580;4;4;U;4;4;U;2;2;2;2;2;2
05015250;6499949;4;5;U;4;5;U;2;2;2;2;2;U
05015300;6509070;4;3;U;4;3;U;4;5;5;5;5;2
05015320;6502550;3;3;U;3;3;U;2;2;2;2;2;2
05015800;6507320;2;2;U;2;2;U;2;2;2;U;U;U
05015900;6511770;2;2;U;2;2;U;2;2;2;2;5;2
05015950;6512130;5;5;U;5;5;U;4;4;4;U;U;U
05015980;6512620;3;2;U;3;2;U;2;2;2;2;2;U
05016100;6512220;4;4;U;4;4;U;3;3;2;U;U;U
05016500;6511000;3;3;U;U;U;U;3;3;2;U;U;U
05017060;6508610;4;4;U;4;4;U;2;2;2;2;2;2
05018000;6512760;3;3;U;3;3;U;2;2;2;2;2;2
05018150;6516880;3;3;U;2;2;U;3;3;3;2;5;2
05018400;6524590;2;2;U;1;2;U;2;2;2;U;U;U
05018650;6531420;2;2;U;2;2;U;2;2;3;U;U;U
05018700;6541350;2;2;U;2;2;U;2;2;2;2;2;2
05018750;6538530;2;2;U;2;1;U;2;2;2;2;2;2
05018800;6534080;3;3;U;3;3;U;2;2;2;2;2;2
05018900;6542800;3;3;U;2;2;U;4;4;5;U;U;U
05018950;6537030;3;4;U;3;4;U;3;4;4;2;2;2
05018975;6546020;3;3;U;U;U;U;3;3;3;2;2;U
05019000;6536280;3;3;U;3;3;U;2;2;2;2;2;U
05019930;6534300;3;3;U;3;3;U;3;3;3;2;5;2
05019931;6533600;U;2;U;U;U;U;U;2;2;U;2;5
05019940;6533800;2;3;U;2;2;U;2;3;2;U;U;U
05020000;6527860;3;3;U;3;3;U;2;2;2;2;2;2
05020100;6529060;2;2;U;2;2;U;2;2;2;2;2;2
05020200;6531670;3;3;U;3;3;U;2;3;3;U;U;U
05020900;6519840;2;2;U;1;1;U;2;2;2;U;U;U
05020990;6517770;2;3;U;2;3;U;2;2;2;U;U;U
