eu_cd;2010;2013;2016
FRFR298;2;2;2
FRFR3;5;3;3
FRFR30;4;3;2
FRFR300A;4;3;3
FRFR300B;3;3;3
FRFR300C;4;3;3
FRFR301A;3;3;3
FRFR301B;4;3;3
FRFR302A;2;2;2
FRFR302B;2;2;1
FRFR303A;3;3;3
FRFR303B;3;3;3
FRFR304;5;2;4
FRFR305;2;2;2
FRFR306A;2;3;4
FRFR306B;2;2;2
FRFR306C;2;3;2
FRFR307A;3;2;2
FRFR307B;2;2;3
FRFR308;2;2;2
FRFR31;4;3;2
FRFR310;2;2;2
FRFR311A;3;2;3
FRFR311B;2;2;2
FRFR312;4;3;3
FRFR313;3;3;3
FRFR314A;3;3;2
FRFR314B;3;3;3
FRFR315A;4;4;3
FRFR315B;3;4;4
FRFR316;2;3;2
FRFR317;3;3;3
FRFR318A;3;3;3
FRFR318B;5;2;2
FRFR318C;3;3;2
FRFR319;3;2;2
FRFR32;4;3;2
FRFR320;4;2;3
FRFR321;3;3;3
FRFR322;2;2;3
FRFR323;3;3;3
FRFR324A;3;2;2
FRFR324B;2;2;2
FRFR325A;3;3;2
FRFR325B;4;3;2
FRFR326A;5;4;4
FRFR326B;5;3;2
FRFR327A;5;3;3
FRFR327B;4;3;3
FRFR327C;4;4;3
FRFR328;5;4;3
FRFR33;3;3;2
FRFR330A;5;4;5
FRFR330B;4;4;4
FRFR331A;3;3;3
FRFR331B;2;2;3
FRFR332;4;3;3
FRFR333;3;4;4
FRFR334;3;3;3
FRFR338;3;3;3
FRFR339;4;3;3
FRFR341;3;3;3
FRFR342;3;4;4
FRFR343;2;3;3
FRFR344;2;2;2
FRFR345;2;2;2
FRFR346;1;2;2
FRFR347A;3;3;3
FRFR347B;3;2;3
FRFR348;4;4;3
FRFR349A;4;4;3
FRFR349B;2;2;2
FRFR349C;3;2;3
FRFR34A;4;3;2
FRFR34B;4;3;4
FRFR35;4;3;3
FRFR351;2;2;2
FRFR353;4;4;5
FRFR355;2;2;1
FRFR356;2;2;2
FRFR357;4;3;3
FRFR358;2;2;3
FRFR359;2;2;2
FRFR36;4;3;3
FRFR360;3;3;3
FRFR361A;3;3;3
FRFR361B;3;3;3
FRFR362;2;2;2
FRFR363;2;2;2
FRFR364;3;3;2
FRFR365;2;2;2
FRFR366;3;2;3
FRFR367;2;3;2
FRFR368;3;2;3
FRFR369;4;3;3
FRFR370;2;3;3
FRFR371;4;2;3
FRFR372;2;3;3
FRFR373;3;3;3
FRFR374;3;2;2
FRFR375;3;5;4
FRFR376;3;3;3
FRFR377;3;3;3
FRFR378;3;3;2
FRFR379A;2;2;2
FRFR379B;3;3;3
FRFR380;3;3;2
FRFR381;3;3;2
FRFR382;4;3;3
FRFR383;3;3;3
FRFR384;4;3;2
FRFR385;2;2;2
FRFR386;2;2;2
FRFR387;3;2;3
FRFR388;4;3;3
FRFR389;3;2;2
FRFR39;3;3;2
FRFR390;3;3;2
FRFR4;3;2;3
FRFR40;4;4;3
FRFR403;2;2;2
FRFR404;2;2;3
FRFR405;3;3;3
FRFR407;3;2;2
FRFR409;3;2;2
FRFR41;3;3;3
FRFR410;2;3;2
FRFR411A;3;2;2
FRFR411B;3;3;2
FRFR412;3;3;2
FRFR413;3;3;3
FRFR415;3;2;2
FRFR417;3;3;3
FRFR419;3;3;3
FRFR420;3;3;2
FRFR421;4;2;2
FRFR423;4;3;2
FRFR424;3;3;2
FRFR425;3;2;3
FRFR426;3;3;3
FRFR428;3;2;3
FRFR42A;3;3;3
FRFR42B;2;2;2
FRFR43;3;2;2
FRFR430;5;2;2
FRFR431;3;2;3
FRFR432;4;2;2
FRFR433;2;2;2
FRFR434;2;2;2
FRFR435;2;2;2
FRFR437;2;2;2
FRFR438;4;3;2
FRFR439A;2;2;2
FRFR44;2;2;3
FRFR440;3;2;2
FRFR441;2;2;2
FRFR442;2;2;2
FRFR445A;4;3;3
FRFR445B;2;3;3
FRFR446;4;2;2
FRFR448;2;2;2
FRFR449;2;2;2
FRFR45;3;3;2
FRFR450;3;2;2
FRFR451;2;2;2
FRFR452;2;2;2
FRFR453;3;3;3
FRFR455;3;3;2
FRFR457;2;2;2
FRFR458;3;3;5
FRFR459;3;3;4
FRFR461;2;2;2
FRFR462;2;3;3
FRFR464;4;4;4
FRFR465;4;2;3
FRFR466;2;3;4
FRFR468;3;3;3
FRFR469;2;2;3
FRFR46A;3;3;3
FRFR46B;2;3;4
FRFR46C;2;2;3
FRFR47;2;2;2
FRFR470;3;3;2
FRFR471;3;3;4
FRFR473;3;3;2
FRFR474;3;3;3
FRFR475;3;3;3
FRFR476;3;3;4
FRFR477A;4;3;3
FRFR477B;3;5;3
FRFR478;1;1;2
FRFR479;1;2;2
FRFR48;3;3;3
FRFR480;1;1;2
FRFR481;3;3;3
FRFR482A;3;3;3
FRFR482B;2;3;3
FRFR483;2;2;2
FRFR484;2;3;2
FRFR485;2;2;3
FRFR486;3;3;2
FRFR487;3;3;2
FRFR488;3;3;4
FRFR49;3;3;3
FRFR490;2;2;2
FRFR491;2;2;2
FRFR492;2;3;3
FRFR493;3;2;2
FRFR494;3;3;3
FRFR495;2;2;2
FRFR496A;3;3;3
FRFR496B;2;2;3
FRFR497;1;1;2
FRFR498A;3;2;2
FRFR499;2;2;3
FRFR5;3;3;4
FRFR50;2;2;3
FRFR500;2;3;2
FRFR501;2;2;2
FRFR502;2;2;2
FRFR503;2;3;3
FRFR504;2;2;2
FRFR505;3;2;3
FRFR506;1;2;3
FRFR507;3;2;2
FRFR508;2;2;2
FRFR509;2;2;2
FRFR51;5;3;4
FRFR510;1;1;2
FRFR511;2;2;2
FRFR512;2;3;2
FRFR513;2;2;2
FRFR514;2;2;2
FRFR515;2;3;2
FRFR516;2;3;3
FRFR517;1;1;2
FRFR518;2;3;3
FRFR519;2;2;2
FRFR52;4;4;5
FRFR520;3;2;2
FRFR521;3;3;3
FRFR522;4;2;3
FRFR523A;4;5;5
FRFR523B;3;2;3
FRFR524;3;3;3
FRFR525;3;2;3
FRFR526;2;3;3
FRFR527;3;3;3
FRFR528;3;2;2
FRFR529;2;2;2
FRFR53;4;3;3
FRFR530;2;2;2
FRFR531;5;4;4
FRFR532;2;2;2
FRFR533;2;3;2
FRFR534;3;3;3
FRFR536;2;3;3
FRFR537;2;3;2
FRFR538;3;3;3
FRFR539;3;3;2
FRFR54;4;3;3
FRFR540;2;3;3
FRFR541;3;2;2
FRFR542;3;2;2
FRFR543;3;2;3
FRFR544;2;3;2
FRFR545;4;3;3
FRFR546;2;2;3
FRFR547;3;3;3
FRFR548;3;3;3
FRFR549;3;3;4
FRFR550;2;3;4
FRFR553;4;2;3
FRFR555;4;3;3
FRFR556;3;3;4
FRFR557A;4;4;4
FRFR557B;3;5;4
FRFR557C;3;2;3
FRFR557D;5;3;4
FRFR558;3;3;2
FRFR55A;5;3;3
FRFR55B;3;3;3
FRFR563;3;2;3
FRFR57;3;3;3
FRFR571A;2;2;1
FRFR572;2;2;2
FRFR573;2;2;2
FRFR574;3;2;2
FRFR576;2;2;2
FRFR577;2;2;1
FRFR578A;2;2;2
FRFR578B;2;1;2
FRFR58;4;3;3
